Stonks_7,Stonks_14,Stonks_30,Avg_7_vs_value,Avg_14_vs_value,Avg_30_vs_value,Diff_7_vs_value,Diff_14_vs_value,Diff_30_vs_value,Var_7_vs_avg,Var_14_vs_avg,Var_30_vs_avg,Reg_linear_7,Reg_linear_14,Reg_linear_30
0,0,1,0.987954422599717,0.991890162494697,0.955899629331682,-0.035833109872975,0.070673062598695,0.079694240019598,0.056157958572503,0.090262716433158,0.084236067543943,0.176292857142857,0.10322989010989,0.118272658509455
0,0,1,0.964462291424634,0.947675101693462,0.915101333578901,-0.076940908239314,0.093186458654185,0.094605880279566,0.13465514653971,0.095048805335042,0.082320225695428,-0.311957142857143,0.135286153846154,0.111422180200222
0,0,1,1.00706180755304,0.983530125092706,0.95450941811744,-0.029763289616251,0.070600982471068,0.052427261910301,0.129934445596422,0.095682824838272,0.073780423706206,-0.537228571428572,0.134697362637363,0.094971256952169
1,0,1,1.0388510327468,1.00886999701647,0.983036866585963,-0.030150788234608,0.051313267101279,0.02298688961972,0.130087285401468,0.104226955297348,0.071624689136402,-0.478957142857143,0.173448571428572,0.087008809788654
1,0,1,1.07177815012597,1.03120040101097,1.00866781049888,-0.072226675667314,0.018542739009366,-0.049999296824459,0.12108681818125,0.110007720126964,0.072980165053832,-0.338939285714286,0.22493978021978,0.075861668520579
1,0,1,1.08273945560153,1.0385986358402,1.0187613901438,-0.026064310390646,0.001119674018957,-0.074823279298432,0.110553616953705,0.111400683538202,0.075850568815735,0.116192857142857,0.286735604395605,0.066947274749722
0,0,1,0.976065603859308,0.935626372853714,0.92240727068958,0.101901301092074,0.114538289691937,-0.006788306470944,0.113790286873903,0.11515478756504,0.083832390810726,0.713021428571429,0.368549670329671,0.05286020022247
0,0,0,0.886949148472912,0.856243331484156,0.850755277210177,0.172279277127617,0.174703004891684,0.084656505880931,0.137985873072184,0.107658333742815,0.082501156789182,0.8705,0.338867912087912,0.022037308120134
1,0,1,0.946174917685009,0.924076783368522,0.927210385944074,0.078294801325893,0.090030307040335,0.026837384492736,0.047896172071055,0.040970751457564,0.053565828015526,0.486007142857143,0.202302197802198,-0.021246273637375
1,0,1,0.961535626424622,0.94621426883164,0.955957917350493,0.069112795571135,0.065044791323367,-0.020067045503723,0.035595497550947,0.025475395759964,0.05187599496154,0.392632142857143,0.14032967032967,-0.049150789766407
0,0,1,0.935986516573924,0.928143513419953,0.94227277049648,0.09289201782488,0.069305859322484,-0.004580823498936,0.032207955648199,0.017959686217429,0.054149493386387,0.358289285714286,0.088222857142857,-0.070662580645161
0,1,1,0.972981159478202,0.970711624233437,0.992510097923091,0.03602100966569,0.041311412005622,-0.058308383492011,0.006797690274661,0.004289699870808,0.054799370678883,0.14685,0.031508351648352,-0.095128987764183
1,1,1,0.998768205570883,1.00058539466988,1.02372088002553,-0.003209884451277,-0.034091677431523,-0.058340183696492,0.002690980573402,0.004781164671056,0.055864921031473,0.033446428571429,-0.023558901098901,-0.103069276974416
