Stonks_7,Stonks_14,Stonks_30,Avg_7_vs_value,Avg_14_vs_value,Avg_30_vs_value,Diff_7_vs_value,Diff_14_vs_value,Diff_30_vs_value,Var_7_vs_avg,Var_14_vs_avg,Var_30_vs_avg,Reg_linear_7,Reg_linear_14,Reg_linear_30
0,1,1,0.956642322947005,0.939982242256599,0.841856481007183,0.027302530478435,0.182938906532801,0.345131987842776,2.38646154343038,3.95476172444293,8.98029935102591,10.6610714285714,6.51243956043956,6.83726140155729
0,0,1,0.914135416473383,0.881773838903011,0.790247651210114,0.017680867645149,0.217512014547344,0.356588517989349,2.76112627836247,4.39065285110698,9.06753011775621,2.2375,7.3125054945055,6.82271857619577
1,1,1,0.976761044151782,0.924486426771595,0.832529904132997,-0.058684507776523,0.199878356069163,0.328490746372404,2.56710348181321,4.45416441634558,8.60886953045139,-10.2660714285714,7.27397802197802,6.57890545050056
1,1,1,1.0409943201441,0.972418959773443,0.878946454916255,-0.040279689069067,0.166455908059657,0.288857068471752,2.51555071809124,5.11592693278593,8.63965503476816,-11.8896428571429,8.23472527472528,6.5379532814238
1,1,1,1.08434226598323,0.998640663731089,0.902534210881859,-0.065237111810233,0.110806585474127,0.253517592789176,2.37220905612656,5.64994823710515,8.90806767296317,-7.89678571428571,9.52316483516483,6.64311457174639
1,1,1,1.07957934001607,0.990561833606584,0.892089013838609,0.017985057382731,0.082858353231149,0.252599553261958,2.60519105897182,5.91678979084249,9.22975213601396,3.89892857142857,10.6746813186813,6.80757508342603
1,1,1,0.972096627370734,0.895894615679755,0.806444666795396,0.172836905576913,0.188021135043095,0.292309582740885,4.4314005878276,6.33082509261322,9.30944165393704,19.3853571428571,11.9947692307692,6.8090233592881
0,0,1,0.89376205666307,0.830981226432692,0.749641064630404,0.209097069566798,0.234203262648133,0.348610812686974,5.83988430591917,6.10323312191789,8.75127652852758,25.1775,11.3834725274725,6.46986429365962
1,0,0,0.85875381635534,0.807115187101071,0.733600341420177,0.208906470568924,0.260989461934933,0.333426348445553,5.13208950564189,4.76871464448799,7.18286144770738,22.2953571428571,9.51360439560439,5.73143937708565
1,1,1,0.897236835384851,0.857942182951121,0.787177928733167,0.176921701823382,0.205702538434036,0.263639613872006,3.14754904081516,2.72108801391403,5.22184295479603,16.7246428571429,6.99340659340659,4.83798887652948
0,1,1,0.880637888682679,0.856032427647365,0.78874816546176,0.187856715768875,0.176170027721911,0.259806852566542,2.50005585552221,1.71227315662171,4.17957873998097,14.2642857142857,5.09512087912088,4.22227363737486
1,1,1,0.927492954905794,0.910095914125484,0.844587369439324,0.096631240440802,0.146241029059963,0.188105415898663,0.847121430858164,0.763454072655499,3.12138209636027,7.5675,3.53430769230769,3.55540378197998
1,1,1,0.993590967933618,0.976751342289001,0.905675459632294,-0.010780755926233,0.032872816790815,0.169796905838161,0.315219675772656,0.395222238842514,2.73098772072383,1.93285714285714,2.2630989010989,3.26378642936596
1,1,1,0.975830238473388,0.95368308236109,0.884674970046532,0.033352837916911,0.129336286884561,0.230230711360027,0.320296796668176,0.663294584782692,2.84139881177675,2.10464285714285,3.14837362637363,3.33411790878754
1,1,1,0.964382790153098,0.935583122137744,0.871508801051285,0.038634713144517,0.165494345886503,0.213217138707335,0.266715547509495,1.01705018657258,2.74676352227443,0.840714285714286,3.96531868131868,3.23833370411568
1,1,1,0.999612163784785,0.964723969208907,0.904702850234201,0.022174923441131,0.15748322220533,0.179440957365941,0.187368705303933,1.44314162815233,2.56978789214243,-0.051071428571429,4.74138461538462,3.08360177975528
1,1,1,1.02168848263487,0.978727439037994,0.922500353241267,0.008700890167994,0.144345536889543,0.177587399326239,0.267077190552544,1.98604875298854,2.59634347582589,1.62928571428572,5.93901098901099,3.09017352614016
1,1,1,0.996033985549939,0.944182765357065,0.89152087403227,0.013067071847189,0.139808986325157,0.207358367701324,0.233943939238279,2.2708255987607,2.68926951977305,3.36857142857143,6.83624175824176,3.16236040044494
1,1,1,0.955843228765188,0.902137953167788,0.856513188743553,0.08585105712906,0.188687564299061,0.207520628188709,0.40281075223604,2.5321686632363,2.57050062248648,5.6225,7.37606593406594,3.03236484983315
1,1,1,0.977862331373227,0.914418824430499,0.874936584803413,0.01478727084054,0.173274818401937,0.180322552749914,0.220251075934442,2.46906856207341,2.23698532012142,2.56857142857143,7.19,2.74684315906563
1,1,1,0.962075780606849,0.901213575020581,0.86763142180879,0.100792092029439,0.165260181727926,0.177195519392226,0.547866034678179,2.37838069845711,1.99339104186939,4.92964285714286,6.91962637362637,2.49937041156841
1,1,1,0.970690519555519,0.915527012190865,0.88722106229547,0.106681178090711,0.137888143574253,0.141131002620941,0.961329859624234,2.10456444772424,1.68478517675373,7.0875,6.25125274725275,2.17523915461624
1,1,1,0.963527751253091,0.920096389105909,0.893278269154307,0.126955190961673,0.092678864807688,0.157855647829316,1.63635541971012,1.83532025399425,1.51023022658437,10.4635714285714,5.25571428571429,1.9879977753059
0,1,1,0.922491799570184,0.891262614837437,0.867506817981877,0.156483680830474,0.133214568487728,0.185888976862849,2.14624780744328,1.61921044478537,1.36964282136207,12.9264285714286,4.50573626373626,1.83354838709677
1,1,1,0.944182689152832,0.922757398779447,0.89907671107028,0.089825447864033,0.067317409278824,0.161047312815802,1.70606745711823,1.13304366900851,1.11181297998059,10.3721428571429,2.85151648351648,1.60620244716352
1,1,1,0.88672869305714,0.877932565108901,0.852802159220574,0.152067058720267,0.096111647502853,0.230163258140964,1.6018185267673,0.932570797004641,1.07385771531084,9.54428571428572,1.45274725274725,1.5652703003337
