Stonks_7,Stonks_14,Stonks_30,Avg_7_vs_value,Avg_14_vs_value,Avg_30_vs_value,Diff_7_vs_value,Diff_14_vs_value,Diff_30_vs_value,Var_7_vs_avg,Var_14_vs_avg,Var_30_vs_avg,Reg_linear_7,Reg_linear_14,Reg_linear_30
0,0,1,0.917014621665046,0.950235299845708,0.828738144766069,0.038982712218971,0.137655866210673,0.367544570978622,0.673231758498949,0.582313598176403,1.96476575352748,1.89839285714286,-0.097885714285714,1.1222106785317
0,0,1,0.896828474956327,0.915223385393581,0.793195990752571,-0.017875068443147,0.128775780251871,0.365349516335098,0.823342018314838,0.58367902480782,1.98266544334132,-0.310678571428571,-0.109494505494505,1.11771390433815
1,1,1,0.999029525245923,1.00423405823211,0.867799732153796,-0.129237905729965,0.065854678647926,0.293671816580271,0.879775469050264,0.565251461380425,1.92682022689201,-2.72542857142857,-0.168010989010989,1.08174727474972
1,1,1,1.09232262997242,1.07386282113522,0.930630271177579,-0.140335429192521,0.142412943879587,0.256731285169847,0.903283230140008,0.83596939808605,1.99086545040781,-3.17121428571428,0.325947252747253,1.10301935483871
1,1,1,1.17806784304246,1.11958787593305,0.969665591662207,-0.260343905013956,0.077516016602311,0.2055042156565,0.850144483084569,1.01075827754923,2.07295859046321,-3.04357142857143,0.910492307692308,1.15020823136819
1,1,1,1.175208881675,1.08804949121277,0.938917003810786,-0.163041486347425,0.070849603180197,0.212873031759681,0.478821751028571,1.07676522641151,2.14650625186862,-1.39657142857143,1.51176263736264,1.2080745272525
1,0,1,1.03801685522813,0.935001327733559,0.8091999706501,0.002996135596537,0.257154038057037,0.292410605097099,0.142164192886936,1.31225853793571,2.1877433138028,0.576285714285715,2.18742637362637,1.23460889877642
0,0,1,0.937805086957288,0.838870059572506,0.732238422371896,0.17768488529771,0.335208615839787,0.363158543555491,0.368513166452987,1.57613506852422,2.12224648190809,2.25303571428571,2.50183076923077,1.1872914349277
0,0,1,0.91859204792155,0.814958969737977,0.721966074809012,0.142797818132842,0.350793508271791,0.339468899414128,0.374688121349431,1.63778352925989,1.85570163221712,2.24303571428571,2.51384395604396,1.06436218020022
0,1,1,0.960941499290739,0.850330327949381,0.764104018113888,0.110734408744857,0.285354053304055,0.284980032093433,0.34275341093892,1.51651997145393,1.548512423833,2.07896428571429,2.35258681318681,0.926181757508343
0,0,1,0.880215001237618,0.790792616258198,0.716200606623905,0.284765172291134,0.299739526557964,0.363951393590288,0.853308252431705,1.44072228444003,1.38062624920433,3.47153571428571,2.21365494505494,0.842311234705228
0,0,1,0.889308873055313,0.810809734474967,0.743260812476011,0.22687109872129,0.286637173504636,0.341300527240773,0.846817755599125,1.15264925159215,1.07772103859479,3.36482142857143,1.90004395604396,0.723805561735261
0,1,1,0.870903416747125,0.803561133997676,0.740118406581051,0.191519373949735,0.225655304377691,0.349761428729133,0.717607179528452,0.876082024236673,0.861765888934326,2.85939285714286,1.49305274725275,0.631338598442714
1,1,1,0.927185222104542,0.870857929412498,0.806606610699229,0.172154382904492,0.196453881378107,0.360758286088094,0.584181044812892,0.597301225823665,0.698905990282696,2.45492857142857,1.15225274725275,0.571893882091212
1,1,1,0.86448632218845,0.819104980126257,0.76385728314239,0.223306055646481,0.285067103109656,0.371561374795417,0.650283391319901,0.575022320856115,0.651320238385425,2.62521428571429,1.10549010989011,0.546213125695217
1,1,1,0.859883512457965,0.826984988419084,0.778478619722769,0.21520928023879,0.268869140492504,0.35526762092124,0.442784705755065,0.398592086777826,0.520428360101915,2.02332142857143,0.897769230769231,0.491634927697442
1,1,1,0.98360621923158,0.955082690844418,0.906220453913453,0.049733684142976,0.136639286401848,0.246486555862157,0.133165162604183,0.227305900314568,0.41750889997502,0.992178571428571,0.681312087912088,0.446193103448276
1,1,1,0.958247202184054,0.925798808086735,0.877840834861858,0.043269004656121,0.127784658315958,0.254064307774311,0.130279330444578,0.23453841297045,0.444506071424283,0.876535714285714,0.700331868131868,0.463334593993326
1,1,1,0.916652036992486,0.887206295744824,0.842325995377745,0.107065374053677,0.15449152670945,0.248266654529455,0.116835871548425,0.215812811975187,0.432203297221891,0.739035714285714,0.639265934065934,0.451181535038932
1,1,1,0.988109348836334,0.948721566856691,0.905169234821546,-0.039279599631239,0.110644672724878,0.179935466877387,0.051135586644833,0.158233386572575,0.383686225936712,-0.336214285714286,0.521468131868132,0.416321690767519
1,1,1,1.00753540121376,0.964503660533667,0.920800179815689,0.006051921780175,0.073887390424815,0.158934592043156,0.051769750308141,0.152841875161397,0.379167145977326,-0.32575,0.495698901098901,0.40944382647386
1,1,1,1.02161269050953,0.984832094758966,0.939290262722657,0.05601369223588,0.034662794115105,0.125131822346697,0.118043134486638,0.14891074107036,0.375819455808946,0.291392857142857,0.465606593406594,0.402958175750834
