Stonks_7,Stonks_14,Stonks_30,Avg_7_vs_value,Avg_14_vs_value,Avg_30_vs_value,Diff_7_vs_value,Diff_14_vs_value,Diff_30_vs_value,Var_7_vs_avg,Var_14_vs_avg,Var_30_vs_avg,Reg_linear_7,Reg_linear_14,Reg_linear_30
0,1,1,0.969574161554215,0.975238384442623,0.896493471207787,0.002541194521249,0.053066747643935,0.277522947998743,48.4675963843238,29.0864469017402,165.169818719009,224.060714285714,26.7597802197802,170.621023359288
0,0,1,0.926695613137453,0.925304253419655,0.845805771453423,0.027693026230956,0.103350069296023,0.301485930115087,53.4469574291028,29.6789017998226,176.767039545792,40.3642857142857,29.8257142857143,177.017975528365
1,1,1,0.993417047333629,0.990553698590321,0.905340701841211,-0.010673338648924,0.080817134530258,0.241302136317396,32.6228891498399,27.8209550354797,174.299174127926,-179.357142857143,24.4887912087912,174.544827586207
1,1,1,1.02073079058195,1.00696814000575,0.91986704792629,-0.038475638299672,0.100261129002239,0.235230419554784,33.4738995068458,44.7042562587447,186.005783702987,-233.65,77.7030769230769,181.409521690768
1,1,1,1.06468195349559,1.03553432863707,0.943968136267475,-0.091089559820402,0.061662511458449,0.214274453935576,33.9636687286451,57.8756671138308,199.397431279828,-244.239285714286,132.726153846154,190.015239154616
1,1,1,1.07540329964873,1.03008681971798,0.934574253195044,-0.088171541778348,0.048817154177835,0.226261507982753,21.1328214615141,64.9205343737483,215.888988769809,-133.153571428572,193.118461538462,202.032591768632
1,0,1,0.990637947215419,0.940896223895743,0.850416955972156,0.049110719435988,0.129696095711157,0.270533568338407,9.27888716874367,72.1097466870905,226.137246751934,121.632142857143,249.673846153846,209.652525027809
0,0,1,0.961343554996636,0.908501792371345,0.821488640358663,0.071948456084292,0.180487244551654,0.318024706828316,13.3163208043929,81.005645365626,227.253945062903,179.425,268.066813186813,208.794238042269
1,1,1,0.990191765404501,0.931752750720519,0.844938409976278,0.03902696467823,0.167359463753292,0.290942131493612,10.6968872478027,83.5027497548603,217.715805434625,154.007142857143,270.196483516484,202.643893214683
0,1,1,0.975492337282169,0.918226584933079,0.833883672135659,0.092169077114415,0.167583596283041,0.287608144290144,27.2892143973468,89.1021513347089,212.958967200481,287.203571428572,280.216703296703,198.552992213571
0,1,1,0.942368496694452,0.893552041733685,0.811870692238538,0.146314054540006,0.171427501177276,0.307863136264395,55.909967610815,86.2864567003442,205.296536548314,437.95,271.250549450549,193.072280311457
0,0,1,0.922961238127876,0.879367136247919,0.802195960418095,0.139446967100754,0.20598440712817,0.30524974297464,59.3614327801878,80.5904735871662,188.063737029609,449.014285714286,259.088791208791,183.000823136819
0,1,1,0.949286857720593,0.909996429273538,0.830489510489511,0.083090403572331,0.125009127418766,0.280551576937119,40.549391372313,57.7257550072592,167.0579457888,341.228571428571,208.946593406593,171.540689655172
1,1,1,0.938703864744395,0.902569236036656,0.820794091943935,0.083259257592295,0.123068873561149,0.3297458170648,33.3493718656067,46.1093436964955,164.543683569286,277.167857142857,173.664395604396,169.257530589544
1,1,1,0.927858449109928,0.893631795244269,0.814649281237438,0.11133884035488,0.199107703979663,0.334548728081847,25.5563612013817,45.2076206029637,158.900469169971,227.517857142857,170.778241758242,165.585895439377
1,1,1,0.960238645045834,0.928667573706997,0.848502614293064,0.084482944280262,0.161278550832147,0.311615357924838,13.1949427470442,39.1935125501781,152.261734042662,161.689285714286,159.234065934066,161.6
1,1,1,0.993718154220881,0.958948607964467,0.877887753609561,0.039227731461167,0.149915376418229,0.287776593744123,11.3299734611763,48.4044620653529,155.657756592465,144.307142857143,175.982637362637,162.337107897664
1,1,1,0.982250193338489,0.942158013102572,0.861836641569701,0.036544085620061,0.143836724534877,0.29550121336569,12.3781314121302,57.0085977346111,164.085666163018,169.535714285714,198.355824175824,166.211546162403
1,1,1,0.956140489054812,0.91759561177358,0.839141274916994,0.091630830301026,0.154794721946558,0.295340659879198,19.0812007280653,60.5707239791818,165.620818634083,231.357142857143,206.113846153846,166.043937708565
1,1,1,0.951328609039398,0.907139394141303,0.830628977520298,0.043989763542747,0.167833712802322,0.299134074269548,12.855445531172,59.6029159169053,161.231382371408,132.325,202.313186813187,162.630545050056
1,1,1,0.981187870094457,0.928839926240505,0.851978660958133,0.006925419538985,0.14262414149008,0.272174721900126,5.43786048159757,54.5708950909437,153.000556661914,9.86785714285712,190.268571428571,157.216774193548
1,1,1,0.991862792321508,0.941363470033195,0.864747946017059,0.075668470163883,0.132302203403121,0.246327661465276,18.0822786386645,55.3595142866678,147.843376764904,102.142857142857,190.58967032967,153.055773081201
1,1,1,0.978370851446168,0.932244170960309,0.854863902082572,0.085292812777285,0.108917480035493,0.258116289994259,30.4486686011913,53.4541218040654,145.822541257253,208.55,182.390989010989,150.798776418243
1,1,1,0.952190275672389,0.912370059205118,0.837550241006134,0.124149912488617,0.15642901890375,0.270303609602356,47.9471254344147,54.3965501042691,141.391928998956,314.864285714286,183.214285714286,147.097641824249
1,1,1,0.977657737854387,0.940880819431438,0.864606206108998,0.072091392193359,0.121132421569421,0.254525100482857,48.7108479167098,49.1688628451936,134.099384683505,314.542857142857,169.75956043956,142.100111234705
1,1,1,0.921163956630868,0.887765910130927,0.814653023407092,0.114302954827031,0.157960957510319,0.298743733109084,51.8599042030783,48.0394696139515,132.915867906401,342.192857142857,164.703736263736,140.490389321468
1,1,1,0.902125108949983,0.875126592777728,0.803678469161465,0.130056264475111,0.170204848881447,0.315401838699951,35.5465194766668,33.1725301586463,120.722577969298,251.382142857143,132.648791208791,133.6080756396
1,1,1,0.972545728505179,0.951114026370643,0.873831203106738,0.048665309354146,0.082781925121593,0.250466576179165,4.70956306651976,11.7212337833092,104.243369834016,98.1892857142857,87.5123076923076,124.919644048943
1,1,1,0.972434080944127,0.952830313646011,0.873686450450194,0.052853444033124,0.086391486387207,0.230415338197847,4.39391055598633,10.7146672843978,102.122612575043,93.9607142857142,83.1542857142856,122.748987764182
1,1,1,1.00149689560075,0.973950224270988,0.894998304009911,-0.00710841063607,0.121514002979043,0.212994233633696,2.35521915518675,18.6059062696739,100.14804060804,36.1392857142857,102.640879120879,120.704226918799
1,1,1,0.981896012907539,0.950549131087527,0.874809705849577,0.050714420686949,0.145791240897132,0.23367297992645,5.25936359666327,29.1288399300379,101.578520199831,94.7642857142856,132.558241758242,121.162647385984
1,1,1,0.971669405297724,0.936276869905188,0.864706862936951,0.055452878461728,0.166003493437122,0.233741384183862,6.43120744973886,39.2935031406033,99.1279534277463,110.403571428571,155.043736263736,118.731790878754
1,1,1,0.98151587717145,0.939841001777299,0.872036421114217,0.032647733390364,0.162080841304139,0.216771510114381,4.78480595675618,47.2209753856898,93.8786695737771,85.5499999999999,170.515824175824,114.310522803115
1,1,1,0.982363132215999,0.93513509496775,0.87179601502046,0.038871384834884,0.15866599292572,0.199231638082216,5.09420276856243,53.9293451730759,88.2444787985087,89.9392857142856,184.255824175824,109.10914349277
1,1,1,0.990361723163386,0.937179607174863,0.876934334420271,0.022916054793695,0.133738487374707,0.183599545143047,4.74764720323626,55.3654682468129,81.7664996773784,82.3107142857141,186.373186813187,102.95935483871
1,1,1,0.957968549630457,0.901460285383758,0.846295401406766,0.062169602717861,0.1638184773536,0.217062777314062,5.65283805493257,56.6286862350234,76.4453913732841,100.692857142857,188.138681318681,97.8280311457175
1,1,1,0.982617530995984,0.930390829388655,0.877570894836773,0.087898879157224,0.125390457524346,0.174970907086421,13.6225162201601,48.6438809568324,64.8371428678009,144.067857142857,169.146593406593,88.3976418242492
